current_machine_family,current_machine_instance,current_tooling_family,current_certification,rtd_machine_family,rtd_machine_instance,rtd_tooling_family,rtd_certification,future_machine_instance,future_machine_family,future_tooling_family,future_certification
ETS-INA-64,CLFTEA01,6471907A,2,ETS-0-64                                     ,CLFTEA01,6471907A                                     ,2,CLFTEA01,6471907A,ETS-0-64,2
ETS-1-64,CLFTEA02,6487925B,1,ETS-2-64                                     ,CLFTEA02,6487925B                                     ,1,CLFTEA02,6487925B,ETS-2-64,1
ETS-0-64,CLFTEA03,6505771B,1,ETS-0-64                                     ,CLFTEA03,6505771B                                     ,1,CLFTEA03,6505771B,ETS-0-64,1
ETS-1-64,CLFTEA04,ASM4198,1,ETS-0M-64                                    ,CLFTEA04,ASM4198                                      ,1,CLFTEA04,ASM4198,ETS-0M-64,1
ETS-0-64,CLFTEA05,6555551A,1,ETS-0-64                                     ,CLFTEA05,6555551A                                     ,1,CLFTEA05,6555551A,ETS-0-64,1
ETS-2-128,CLFTEA07,6526024A,2,ETS-0-64                                     ,CLFTEA07,6526024A                                     ,2,CLFTEA07,6526024A,ETS-0-64,2
ETS-INA-64,CLFTEA08,,1,ETS-2-128                                    ,CLFTEA08,6514600A                                     ,1,CLFTEA08,6514600A,ETS-2-128,1
ETS-INA-64,CLFTEA08,,1,ETS-2-128                                    ,CLFTEA08,6514600A                                     ,1,CLFTEA08,6494649B,ETS-0-64,1
ETS-0-64,CLFTEA09,6480208B,1,ETS-2-128                                    ,CLFTEA09,6510697B                                     ,1,CLFTEA09,6480208B,ETS-0-64,1
ETS-0-64,CLFTEA09,6480208B,1,ETS-2-128                                    ,CLFTEA09,6510697B                                     ,1,CLFTEA09,6510697B,ETS-2-128,1
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,1,CLFTEA10,6517950B,ETM-0M-64,3
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,1,CLFTEA10,6517950B,ETM-0M-64,1
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,2,CLFTEA10,6517950B,ETM-0M-64,3
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,2,CLFTEA10,6517950B,ETM-0M-64,1
ETS-2-64,CLFTEA12,6487925B,1,ETS-0-64                                     ,CLFTEA12,6487925B                                     ,1,CLFTEA12,6487925B,ETS-0-64,1
ETS-1-64,CLFTEA13,6511094C,1,ETS-0-64                                     ,CLFTEA13,6511094C                                     ,1,CLFTEA13,6511094C,ETS-0-64,1
ETS-2M-64,CLFTEA14,6566885A,1,ETM-0M-64                                    ,CLFTEA14,6529762A                                     ,1,CLFTEA14,6566885A,ETM-2-64,1
ETS-S-64,CLFTEA15,6556725A,1,ETM-2-64                                     ,CLFTEA15,6556725A                                     ,1,CLFTEA15,6556725A,ETM-2-64,1
ETS-INAM-64,CLFTEA16,6529253A,1,ETS-0-64                                     ,CLFTEA16,6529253A                                     ,1,CLFTEA16,6529253A,ETS-0-64,1
ETS-0-64,CLFTEA17,6505620C,1,ETS-0-64                                     ,CLFTEA17,6505620C                                     ,1,CLFTEA17,6505620C,ETS-0-64,1
ETS-2M-64,CLFTEA18,6517701E,1,ETS-2-64                                     ,CLFTEA18,6517701E                                     ,1,CLFTEA18,6517701E,ETS-2-64,1
ETS-2-64,CLFTEA19,6526546B,2,ETS-0-64                                     ,CLFTEA19,6526546B                                     ,2,CLFTEA19,6526546B,ETS-0-64,2
ETS-S-64,CLFTEA20,6568858D,1,ETS-2-64                                     ,CLFTEA20,6568858D                                     ,1,CLFTEA20,6568858D,ETS-2-64,1
ETS-0-64,CLFTEA22,6523514A,1,ETS-0-64                                     ,CLFTEA22,6523514A                                     ,1,CLFTEA22,6523514A,ETS-0-64,1
ETS-2-64,CLFTEA23,6514494A,1,ETS-2-64                                     ,CLFTEA23,6514494A                                     ,1,CLFTEA23,6514494A,ETS-2-64,1
ETS-2-64,CLFTEA25,6525585A,1,ETS-2-64                                     ,CLFTEA25,6525585A                                     ,1,CLFTEA25,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA26,,1,ETS-1-64                                     ,CLFTEA26,6491839B                                     ,1,CLFTEA26,6491839B,ETS-1-64,1
ETS-2-64,CLFTEA27,6512302B,1,ETS-0-64                                     ,CLFTEA27,6512302B                                     ,1,CLFTEA27,6512302B,ETS-0-64,1
ETS-INA-64,CLFTEA28,6487925B,1,ETS-0-64                                     ,CLFTEA28,6487925B                                     ,1,CLFTEA28,6487925B,ETS-2-64,1
ETS-2-64,CLFTEA29,6525585A,1,ETS-2-64                                     ,CLFTEA29,6525585A                                     ,1,CLFTEA29,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA30,6524040A,1,ETM-2-64                                     ,CLFTEA30,6524040A                                     ,1,CLFTEA30,6524040A,ETM-2-64,1
ETS-2-64,CLFTEA31,6545253A,1,ETS-2-64                                     ,CLFTEA31,6545253A                                     ,1,CLFTEA31,6545253A,ETS-2-64,1
ETS-2-128,CLFTEA32,6542741A,1,ETS-2-64                                     ,CLFTEA32,6542741A                                     ,1,CLFTEA32,6542741A,ETS-2-64,1
ETS-2-64,CLFTEA33,6487839B,1,ETS-2-64                                     ,CLFTEA33,6487839B                                     ,1,CLFTEA33,6487839B,ETS-2-64,1
ETS-2-64,CLFTEA34,6498316A,1,ETS-2-64                                     ,CLFTEA34,6498316A                                     ,1,CLFTEA34,6498316A,ETS-2-64,1
ETS-2M-64,CLFTEA35,6529571A,1,ETS-2-64                                     ,CLFTEA35,6543648B                                     ,2,CLFTEA35,6529571A,ETS-0-64,1
ETS-2-64,CLFTEA36,6479550B,1,ETS-0-64                                     ,CLFTEA36,6479550B                                     ,1,CLFTEA36,6479550B,ETS-0-64,1
ETS364-NONSTD,CLFTEA37,6506370A,1,ETS-0-64                                     ,CLFTEA37,6506370A                                     ,1,CLFTEA37,6506371B,ETS-0-64,1
ETS364-NONSTD,CLFTEA37,6506370A,1,E88-1-0211010                                ,CLFTEA37,6577359A                                     ,1,CLFTEA37,6506371B,ETS-0-64,1
ETS-2-64,CLFTEA38,6525585A,1,ETS-2-64                                     ,CLFTEA38,6525585A                                     ,1,CLFTEA38,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA39,6528917B,1,ETS-2-64                                     ,CLFTEA39,6528917B                                     ,1,CLFTEA39,6528917B,ETS-2-64,1
ETM-4-64,CLFTEA40,6513992A,1,ETM-0-64                                     ,CLFTEA40,6513992A                                     ,1,CLFTEA40,6513992A,ETS-0-64,1
ETS-2-64,CLFTEA41,6547181A,1,ETS-2-64                                     ,CLFTEA41,6547181A                                     ,1,CLFTEA41,6547181A,ETS-2-64,1
ETS-2-64,CLFTEA42,6555639A,2,ETS-2-64                                     ,CLFTEA42,6555639A                                     ,2,CLFTEA42,6555639A,ETS-2-64,2
ETS-2-64,CLFTEA43,6568521A,1,ETS-2-64                                     ,CLFTEA43,6568521A                                     ,1,CLFTEA43,6568521A,ETS-2-64,1
ETS-2-64,CLFTEA44,6522503A,1,ETS-2-64                                     ,CLFTEA44,6522503A                                     ,1,CLFTEA44,6522503A,ETS-2-64,1
ETS-2M-64,CLFTEA45,6529675B,1,ETM-2M-64                                    ,CLFTEA45,6529675B                                     ,1,CLFTEA45,6529675B,ETM-2M-64,1
ETM-4-64,CLFTEA46,6547137A,1,ETM-4-64                                     ,CLFTEA46,6546767B                                     ,1,CLFTEA46,6547137A,ETM-2-64,1
ETS-2-64,CLFTEA47,6571495A,1,ETS-2-64                                     ,CLFTEA47,6571495A                                     ,1,CLFTEA47,6571495A,ETS-2-64,1
ETS-2-64,CLFTEA48,6575258A,1,ETS-2-64                                     ,CLFTEA48,6575258A                                     ,1,CLFTEA48,6575258A,ETS-2-64,1
ETS-2-64,CLFTEA49,6487925B,1,ETS-2-64                                     ,CLFTEA49,6487925B                                     ,1,CLFTEA49,6487925B,ETS-2-64,1
ETS-2-64,CLFTEA50,6571495A,1,ETS-2-64                                     ,CLFTEA50,6571495A                                     ,1,CLFTEA50,6571495A,ETS-2-64,1
ETS-2-64,CLFTEA51,6525600B,2,ETS-0-64                                     ,CLFTEA51,6525600B                                     ,2,CLFTEA51,6525600B,ETS-0-64,2
ETM-5-128,CLFTEA52,6579768C,1,ETM-5-128                                    ,CLFTEA52,6579768C                                     ,1,CLFTEA52,6579768C,ETM-5-128,1
ETM-5-128,CLFTEA53,6579768C,1,ETM-5-128                                    ,CLFTEA53,6579768C                                     ,1,CLFTEA53,6579768C,ETM-5-128,1
ETM-5-128,CLFTEA54,6579768C,1,ETM-5-128                                    ,CLFTEA54,6579768C                                     ,1,CLFTEA54,6579768C,ETM-5-128,1
ETS-200FT,CLFTEA55,,1,ETS-200FT                                    ,CLFTEA55,6582042B                                     ,1,CLFTEA55,,ETS-200FT,1
ETS-2Q-64,CLFTEA56,6543758C,1,ETS-2-64                                     ,CLFTEA56,6543758C                                     ,1,CLFTEA56,6543758C,ETS-2-64,1
ETS-2-64,CLFTEA57,6547349B,1,ETS-2-64                                     ,CLFTEA57,6570774A                                     ,1,CLFTEA57,6547349B,ETS-2-64,1
ETS-2-64,CLFTEA57,6547349B,1,ETS-2-64                                     ,CLFTEA57,6570774A                                     ,1,CLFTEA57,6570774A,ETS-2-64,1
ETS-2-128,CLFTEA58,6492420C,1,ETS-2-64                                     ,CLFTEA58,6522212C                                     ,1,CLFTEA58,6492420C,ETS-0-64,1
ETS-2-64,CLFTEA59,6579192B,1,ETS-2-64                                     ,CLFTEA59,6579192B                                     ,1,CLFTEA59,6579192B,ETS-2-64,1
ETS-2-64,CLFTEA60,6578688B,1,ETS-2-64                                     ,CLFTEA60,6578688B                                     ,1,CLFTEA60,6578688B,ETS-2-64,1
ETS-2-64,CLFTEA60,6578688B,1,ETS-2-64                                     ,CLFTEA60,6578688B                                     ,1,CLFTEA60,6544140B,ETS-2-64,1
ETS-2-64,CLFTEA61,6512615D,1,ETS-2-64                                     ,CLFTEA61,6512615D                                     ,1,CLFTEA61,6512615D,ETS-2-64,1
ETS-2M-128,CLFTEA62,6570729C,1,ETS-2-64                                     ,CLFTEA62,6570729C                                     ,1,CLFTEA62,6570729C,ETS-2-64,1
ETS-2-64,CLFTEA64,6479550B,1,ETS-0-64                                     ,CLFTEA64,6479550B                                     ,1,CLFTEA64,6479550B,ETS-0-64,1
ETS-2-64,CLFTEA65,6569306A,1,ETS-2-64                                     ,CLFTEA65,6569306A                                     ,1,CLFTEA65,6569306A,ETS-2-64,1
ETS-2-64,CLFTEA66,6544140B,1,ETS-2-64                                     ,CLFTEA66,6544140B                                     ,1,CLFTEA66,6544140B,ETS-2-64,1
ETS-2-64,CLFTEA67,6516394A,1,ETS-1-64                                     ,CLFTEA67,6516394A                                     ,1,CLFTEA67,6516394A,ETS-1-64,1
ETS-2-64,CLFTEA68,6525585A,1,ETS-2-64                                     ,CLFTEA68,6525585A                                     ,1,CLFTEA68,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA69,6541533C,1,ETS-2-64                                     ,CLFTEA69,6541533C                                     ,1,CLFTEA69,6541533C,ETS-2-64,1
ETS-2-64,CLFTEA70,6547349B,1,ETS-2-64                                     ,CLFTEA70,6570774A                                     ,1,CLFTEA70,6570774A,ETS-2-64,1
ETS-2-64,CLFTEA70,6547349B,1,ETS-2-64                                     ,CLFTEA70,6570774A                                     ,1,CLFTEA70,6547349B,ETS-2-64,1
ETS-1-64,CLFTEA71,6487925B,1,ETS-0-64                                     ,CLFTEA71,6487925B                                     ,1,CLFTEA71,6487925B,ETS-2-64,1
ETS-2-64,CLFTEA72,6547181A,1,ETS-2-64                                     ,CLFTEA72,6547181A                                     ,1,CLFTEA72,6547181A,ETS-2-64,1
ETS-2-64,CLFTEA73,6554905A,1,ETS-2-64                                     ,CLFTEA73,6554905A                                     ,1,CLFTEA73,6554905A,ETS-2-64,1
ETS-2-64,CLFTEA74,6520958B,1,ETS-2-64                                     ,CLFTEA74,6520958B                                     ,1,CLFTEA74,6520958B,ETS-2-64,1
ETS-2-64,CLFTEA75,6544140B,1,ETS-2-64                                     ,CLFTEA75,6544140B                                     ,1,CLFTEA75,6544140B,ETS-2-64,1
ETS-2-64,CLFTEA76,6525239A,1,ETS-0-64                                     ,CLFTEA76,6525239A                                     ,1,CLFTEA76,6525239A,ETS-0-64,1
ETS-2-64,CLFTEA77,6512615D,1,ETS-2-64                                     ,CLFTEA77,6512615D                                     ,1,CLFTEA77,6512615D,ETS-2-64,1
ETS-2-64,CLFTEA78,6560309A,1,ETM-2-64                                     ,CLFTEA78,6560309A                                     ,1,CLFTEA78,6560309A,ETM-2-64,1
ETS-2-64,CLFTEA79,6497193A,1,ETS-0-64                                     ,CLFTEA79,6497193A                                     ,1,CLFTEA79,6497194A,ETS-0-64,1
ETS-2M-64,CLFTEA80,6513476C,1,ETS-2-64                                     ,CLFTEA80,6513476C                                     ,1,CLFTEA80,6513476C,ETS-2-64,1
ETS-2-64,CLFTEA81,6505771B,1,ETS-0-64                                     ,CLFTEA81,6505771B                                     ,1,CLFTEA81,6505771B,ETS-0-64,1
ETS-INA-64,CLFTEA82,6487925B,1,ETS-2-64                                     ,CLFTEA82,6487925B                                     ,1,CLFTEA82,6487925B,ETS-2-64,1
ETS-2-64,CLFTEA83,6525585A,1,ETS-2-64                                     ,CLFTEA83,6525585A                                     ,1,CLFTEA83,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA84,6525585A,1,ETS-2-64                                     ,CLFTEA84,6525585A                                     ,1,CLFTEA84,6525585A,ETS-2-64,1
ETS-2M-64,CLFTEA85,6568858D,1,ETS-2-64                                     ,CLFTEA85,6568858D                                     ,1,CLFTEA85,6568858D,ETS-2-64,1
ETS-2-64,CLFTEA86,6518552B,1,ETS-2-64                                     ,CLFTEA86,6518552B                                     ,1,CLFTEA86,6518552B,ETS-2-64,1
ETM-4-64,CLFTEA87,6494476A,1,ETM-2-64                                     ,CLFTEA87,6494476A                                     ,1,CLFTEA87,6494476A,ETM-2-64,1
ETS-2-64,CLFTEA88,6518677A,1,ETS-0-64                                     ,CLFTEA88,6518677A                                     ,1,CLFTEA88,6518677A,ETS-0-64,1
ETM-5-128,CLFTEA89,6579768C,1,ETM-5-128                                    ,CLFTEA89,6579768C                                     ,1,CLFTEA89,6579768C,ETM-5-128,1
,CLFTEA90,6552808A,1,ETS-2-64                                     ,CLFTEA90,6552808A                                     ,1,CLFTEA90,6552808A,ETS-2-64,1
ETM-5-128,CLFTEA92,,1,ETM-5-128                                    ,CLFTEA92,6579768C                                     ,1,CLFTEA92,6579768B,ETM-5-128,1
ETS-200FT,CLFTEA93,,1,ETS-200FT                                    ,CLFTEA93,6582044D                                     ,1,CLFTEA93,,ETS-200FT,1
ETS-200FT,CLFTEA94,,1,ETS-200FT                                    ,CLFTEA94,6582044D                                     ,1,CLFTEA94,,ETS-200FT,1
ETS-2-64,CLFTEA63,6555639A,2,NULL,NULL,NULL,NULL,CLFTEA63,6555639A,ETS-2-64,2
ETS-INA-64,CLFTEA21,6487839B,1,NULL,NULL,NULL,NULL,CLFTEA21,6487839B,ETS-2-64,1
