"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"6460534B","4",NULL,"51580","25790","79116.46","0","0","0","0","0","0","0"
NULL,"6461377C","10",NULL,"89833","44916.5","84242.8","30224","9478","0","0.36","0.11","0","0.47128063169790174"
NULL,"6462654A","13",NULL,"88129","44064.5","144879.67","0","0","0","0","0","0","0"
NULL,"6468723B","1",NULL,"11001","5500.5","115912.08","0","0","0","0","0","0","0"
NULL,"6473092B","1",NULL,"7097","3548.5","62568.18","0","0","0","0","0","0","0"
NULL,"6479465A","2",NULL,"15025","7512.5","0","119984","10073","0","0","0","0","0"
NULL,"6484140A","9",NULL,"104966","52483","86101.98","25341","9499","0","0.29","0.11","0","0.40463645551472804"
NULL,"6484527A","2",NULL,"11829","5914.5",NULL,"0","0","0","0","0","0","0"
NULL,"6487925B","27",NULL,"368106","184053","61302.27","0","0","0","0","0","0","0"
NULL,"6489159B","6",NULL,"73040","36520","68579.81","13812","61517","0","0.2","0.9","0","1.0984136584805353"
NULL,"6491333A","2",NULL,"12679","6339.5","137132.55","0","8492","0","0","0.06","0","0.061925487420747306"
NULL,"6491839B","10",NULL,"57813","28906.5","30653.96","0","12855","0","0","0.42","0","0.41935854290930114"
NULL,"6494708A","10",NULL,"88023","44011.5","46769.29","9664","8315","0","0.21","0.18","0","0.3844189210484059"
NULL,"6496545A","4",NULL,"11130","5565","43424.18","12149","22561","0","0.28","0.52","0","0.7993242474584437"
NULL,"6503050A","9",NULL,"50051","25025.5","53887.55","0","108608","0","0","2.02","0","2.015456260305024"
NULL,"6504079A","2",NULL,"39316","19658","219277.24","74178","44423","0","0.34","0.2","0","0.5408723677842716"
NULL,"6504342B","21",NULL,"182960","91480","50742.23","0","0","0","0","0","0","0"
NULL,"6505620C","5",NULL,"55225","27612.5","0","0","6950","0","0","0","0","0"
NULL,"6505771B","9",NULL,"86090","43045","30493.87","0","0","0","0","0","0","0"
NULL,"6506370A","12",NULL,"215961","107980.5","430169.95","195612","544236","0","0.45","1.27","0","1.7198969849009675"
NULL,"6509808B","2",NULL,"30318","15159","129861.82","0","64804","0","0","0.5","0","0.4990227304684317"
NULL,"6510147A","1",NULL,"8955","4477.5","70232.71","0","29792","0","0","0.42","0","0.4241898112716994"
NULL,"6510609E","2",NULL,"16831","8415.5","94171.79","7494","57762","0","0.08","0.61","0","0.6929463696081385"
NULL,"6511094C","5",NULL,"48789","24394.5","93149.41","13785","41431","0","0.15","0.44","0","0.5927681130776888"
NULL,"6513992A","4",NULL,"45071","22535.5","51321","50136","0","0","0.98","0","0","0.9769100368270299"
NULL,"6513992B","9",NULL,"151347","75673.5","0","0","39226","0","0","0","0","0"
NULL,"6514558B","1",NULL,"77","38.5","64701.18","30541","16478","0","0.47","0.25","0","0.7267100847310667"
NULL,"6514765A","1",NULL,"24731","12365.5","337221.82","81476","62488","0","0.24","0.19","0","0.4269118765802284"
NULL,"6515575A","2",NULL,"12227","6113.5","48086.81","13837","31092","0","0.29","0.65","0","0.9343310566868545"
NULL,"6515577B","17",NULL,"97205","48602.5","49104.65","0","0","0","0","0","0","0"
NULL,"6515889A","2",NULL,"17472","8736","103199.08","0","0","0","0","0","0","0"
NULL,"6516230D","12",NULL,"202810","101405","99263.5","100743","910277","0","1.01","9.17","0","10.1852141018602"
NULL,"6517878B","4",NULL,"39668","19834","59152.08","0","0","0","0","0","0","0"
NULL,"6517950B","1",NULL,"7029","3514.5","25816.62","0","7029","0","0","0.27","0","0.27226647020407785"
NULL,"6518233A","8",NULL,"41982","20991","51947.93","4312","0","0","0.08","0","0","0.08300619485704243"
NULL,"6518677A","1",NULL,"7704","3852","54869.27","0","7704","0","0","0.14","0","0.1404064606655055"
NULL,"6518742B","4",NULL,"34723","17361.5","73272.8","0","0","0","0","0","0","0"
NULL,"6519267C","3",NULL,"7390","3695","50492.61","0","4473","0","0","0.09","0","0.08858722098144658"
NULL,"6520265B","3",NULL,"25783","12891.5","62939.69","0","0","0","0","0","0","0"
NULL,"6520958B","13",NULL,"75620","37810","41130.2","0","0","0","0","0","0","0"
NULL,"6521765A","4",NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"6522167C","4",NULL,"18082","9041","59923.87","61904","229049","0","1.03","3.82","0","4.8553773312704935"
NULL,"6522212C","26",NULL,"345135","172567.5","100707.03","0","27445","0","0","0.27","0","0.2725231793649361"
NULL,"6522803A","4",NULL,"33931","16965.5","54832.01","0","20128","0","0","0.37","0","0.3670848469716868"
NULL,"6523177B","16",NULL,"78462","39231","52894.74","61131","42334","0","1.16","0.8","0","1.9560546095887796"
NULL,"6524040A","14",NULL,"173269","86634.5","0","10548","48577","0","0","0","0","0"
NULL,"6524788B","3",NULL,"63595","31797.5","185472","0","0","0","0","0","0","0"
NULL,"6525230A","1",NULL,"24836","12418","756144.19","182654","99156","0","0.24","0.13","0","0.37269346736632336"
NULL,"6525239A","4",NULL,"36580","18290","26977.51","0","0","0","0","0","0","0"
NULL,"6525585A","60",NULL,"479377","239688.5","61114.33","0","0","0","0","0","0","0"
NULL,"6526570D","1",NULL,"4454","2227","30863.65","0","4454","0","0","0.14","0","0.14431216009772013"
NULL,"6528917B","2",NULL,"7154","3577","16624.76","7154","0","0","0.43","0","0","0.430322001640926"
NULL,"6528944B","35",NULL,"765569","382784.5","197858.21","62980","477360","0","0.32","2.41","0","2.73094555944886"
NULL,"6528989B","2",NULL,"11397","5698.5","57012.16","0","19021","0","0","0.33","0","0.33363057986226097"
NULL,"6529675B","1",NULL,"5031","2515.5","77608.91","60359","66338","0","0.78","0.85","0","1.6325058553199625"
NULL,"6530035A","18",NULL,"236215","118107.5","206222.13","52506","66313","0","0.25","0.32","0","0.5761699774898067"
NULL,"6541231B","10",NULL,"131454","65727","75720.65","15097","15050","0","0.2","0.2","0","0.3981344586978585"
NULL,"6541533C","36",NULL,"318733","159366.5","51964.46","0","0","0","0","0","0","0"
NULL,"6541602C","9",NULL,"63862","31931","79938.78","0","0","0","0","0","0","0"
NULL,"6541669B","5",NULL,"52304","26152","50890.77","0","0","0","0","0","0","0"
NULL,"6542741A","1",NULL,"13767","6883.5","107404.51","0","82856","0","0","0.77","0","0.7714387412595617"
NULL,"6542777B","4",NULL,"12448","6224","25590.08","0","0","0","0","0","0","0"
NULL,"6542852A","2",NULL,"24882","12441","94171.79","0","24912","0","0","0.26","0","0.26453781965915696"
NULL,"6543758C","35",NULL,"262557","131278.5","70276.5","43259","314738","0","0.62","4.48","0","5.094121078881276"
NULL,"6544140B","8",NULL,"15197","7598.5","0","0","3657","0","0","0","0","0"
NULL,"6544455A","6",NULL,"67364","33682","93324.66","0","0","0","0","0","0","0"
NULL,"6545098B","8",NULL,"108791","54395.5","600628.97","0","0","0","0","0","0","0"
NULL,"6545193C","2",NULL,"4636","2318","35270.19","0","4439","0","0","0.13","0","0.12585699141399578"
NULL,"6545253A","6",NULL,"76748","38374","59869.35","0","0","0","0","0","0","0"
NULL,"6545456B","13",NULL,"80592","40296","86453.49","7086","0","0","0.08","0","0","0.08196314573304096"
NULL,"6546767B","21",NULL,"163726","81863","182400","280201","126924","0","1.54","0.7","0","2.232044956140351"
NULL,"6547181A","6",NULL,"63902","31951","53119.27","0","0","0","0","0","0","0"
NULL,"6548880A","2",NULL,"29771","14885.5","134356.34","0","16127","0","0","0.12","0","0.12003155191634425"
NULL,"6552808A","32",NULL,"497808","248904","166418.67","45492","17225","0","0.27","0.1","0","0.37686276425595755"
NULL,"6553054A","3",NULL,"32452","16226","0","39339","71490","0","0","0","0","0"
NULL,"6553444B","7",NULL,"78640","39320","101954.63","0","0","0","0","0","0","0"
NULL,"6553821A","1",NULL,"4648","2324","0","0","0","0","0","0","0","0"
NULL,"6554905A","5",NULL,"55504","27752","217915.27","141228","93733","0","0.65","0.43","0","1.0782218244733377"
NULL,"6555466B","1",NULL,"2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
NULL,"6555551A","3",NULL,"16373","8186.5","51203.7","0","0","0","0","0","0","0"
NULL,"6555613B","9",NULL,"92706","46353","203416.22","41452","522593","0","0.2","2.57","0","2.772861475844945"
NULL,"6555639A","1",NULL,"5071","2535.5","42013.53","0","0","0","0","0","0","0"
NULL,"6556617A","9",NULL,"104514","52257","187827.12","0","309450","0","0","1.65","0","1.6475256608310878"
NULL,"6560309A","1",NULL,"4470","2235","54660.07","0","0","0","0","0","0","0"
NULL,"6566885A","12",NULL,"126613","63306.5","58485.72","7431","72229","0","0.13","1.23","0","1.3620418796246332"
NULL,"6568520B","3",NULL,"22244","11122","61890.83","21314","23685","0","0.34","0.38","0","0.7270705531013237"
NULL,"6568521A","10",NULL,"65136","32568","84266.8","0","0","0","0","0","0","0"
NULL,"6569306A","41",NULL,"502907","251453.5","79573.82","27628","13757","0","0.35","0.17","0","0.5200831127624638"
NULL,"6570242A","7",NULL,"23148","11574","69380.83","10052","4693","0","0.14","0.07","0","0.2125226809768635"
NULL,"6570316D","7",NULL,"158105","79052.5","112889.4","12418","372436","0","0.11","3.3","0","3.409124328767803"
NULL,"6570729C","12",NULL,"21679","10839.5","2499.14","103475","13204","0","41.4","5.28","0","46.687660555231005"
NULL,"6570774A","19",NULL,"93289","46644.5","27367.92","0","0","0","0","0","0","0"
NULL,"6570845A","9",NULL,"113462","56731","88918.36","0","49892","0","0","0.56","0","0.5610989676372798"
NULL,"6571778A","22",NULL,"332271","166135.5","83689.41","285953","89682","0","3.42","1.07","0","4.488441249615692"
NULL,"6572424A","2",NULL,"14016","7008","0","0","0","0","0","0","0","0"
NULL,"6574499A","1",NULL,"12370","6185","359513.04","0","68489","0","0","0.19","0","0.1905049118663401"
NULL,"6574595B","1",NULL,"5015","2507.5","0","0","0","0","0","0","0","0"
NULL,"6575257C","2",NULL,"6649","3324.5","55486.68","0","6725","0","0","0.12","0","0.12120025923338719"
NULL,"6575258A","3",NULL,"29970","14985","51201.75","97534","97125","0","1.9","1.9","0","3.801803649289331"
NULL,"6575577B","9",NULL,"101000","50500","88414.27","0","121016","0","0","1.37","0","1.3687383269691644"
NULL,"6575703A","1",NULL,"20748","10374","137281.69","103864","0","0","0.76","0","0","0.7565757676788507"
NULL,"6576907B","1",NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"6577720A","1",NULL,"4432","2216",NULL,"0","0","0","0","0","0","0"
NULL,"6578688B","22",NULL,"146149","73074.5","67001.71","57455","73692","0","0.86","1.1","0","1.95736795374327"
NULL,"6579742C","1",NULL,"6232","3116","39850.31","0","0","0","0","0","0","0"
NULL,"6579768C","48",NULL,"483666","241833","84207.59","18765","823528","0","0.22","9.78","0","10.002578152396952"
NULL,"6580945B","1",NULL,"7918","3959","183063.27","0","7918","0","0","0.04","0","0.043252805437158426"
NULL,"6588064A","1",NULL,"5034","2517","0","0","5034","0","0","0","0","0"
NULL,"6590151A","8",NULL,"58267","29133.5","0","0","7660","0","0","0","0","0"
NULL,"No_Tooling","34",NULL,"342875","171437.5","113351.83","0","0","0","0","0","0","0"
