Device,Target amount,Finished amount,Shortage
PS53513RVER-LN,172987,173020,-33
603V1RUNR-G2N#,755175,693278,61897
PS54821RHLR2-R,621796,621871,-75
S51200DRCR-G2Y,306635,220578,86057
BQ24170RGYR-G2,71141,77504,-6363
PS54218RTER3-C,242982,256782,-13800
TPS2557DRBR3-R,160052,165988,-5936
BQ24196RGER-RY,114040,124945,-10905
D97374Q4M-LNKE,115707,123745,-8038
7A8300RGRR-G2K,293095,286166,6929
Q24736RGRR-G2K,150211,150267,-56
V62090RGTR1-G2,248021,0,248021
65633BKRTER-G2,389162,409547,-20385
PS65148CRHBR-U,102007,95285,6722
Q24166RGER-G2Y,16531,16531,0
Q24166RGET-G2Y,8176,8176,0
S61087DRCR-G2Y,194202,194202,0
V425RTJT1-UCR&,6232,6232,0
AC7760IRHAR-CK,4454,4454,0
S51220ARSNR-LK,25439,25459,-20
