current_machine_instance,current_tooling_family,smsdw_machine_instance,smsdw_tooling_family,future_machine_instance,future_tooling_family
CLFTEA01,6471907A,CLFTEA01,6471907A                                     ,CLFTEA01,6471907A
CLFTEA02,6487925B,CLFTEA02,6487925B                                     ,CLFTEA02,6487925B
CLFTEA03,6505771B,CLFTEA03,6505771B                                     ,CLFTEA03,6505771B
CLFTEA04,ASM4198,CLFTEA04,ASM4198                                      ,CLFTEA04,ASM4198
CLFTEA05,6555551A,CLFTEA05,6555551A                                     ,CLFTEA05,6555551A
CLFTEA07,6526024A,CLFTEA07,6526024A                                     ,CLFTEA07,6526024A
CLFTEA08,,CLFTEA08,6514600A                                     ,CLFTEA08,6494649B
CLFTEA09,6480208B,CLFTEA09,6510697B                                     ,CLFTEA09,6510697B
CLFTEA10,6517950B,CLFTEA10,6517950B                                     ,CLFTEA10,6517950B
CLFTEA12,6487925B,CLFTEA12,6487925B                                     ,CLFTEA12,6487925B
CLFTEA13,6511094C,CLFTEA13,6511094C                                     ,CLFTEA13,6511094C
CLFTEA14,6566885A,CLFTEA14,6529762A                                     ,CLFTEA14,6566885A
CLFTEA15,6556725A,CLFTEA15,6556725A                                     ,CLFTEA15,6556725A
CLFTEA16,6529253A,CLFTEA16,6529253A                                     ,CLFTEA16,6529253A
CLFTEA17,6505620C,CLFTEA17,6505620C                                     ,CLFTEA17,6505620C
CLFTEA18,6517701E,CLFTEA18,6517701E                                     ,CLFTEA18,6517701E
CLFTEA19,6526546B,CLFTEA19,6526546B                                     ,CLFTEA19,6526546B
CLFTEA20,6568858D,CLFTEA20,6568858D                                     ,CLFTEA20,6568858D
CLFTEA21,6487839B,NULL,NULL,CLFTEA21,6487839B
CLFTEA22,6523514A,CLFTEA22,6523514A                                     ,CLFTEA22,6523514A
CLFTEA23,6514494A,CLFTEA23,6514494A                                     ,CLFTEA23,6514494A
CLFTEA25,6525585A,CLFTEA25,6525585A                                     ,CLFTEA25,6525585A
CLFTEA26,,CLFTEA26,6491839B                                     ,CLFTEA26,6491839B
CLFTEA27,6512302B,CLFTEA27,6512302B                                     ,CLFTEA27,6512302B
CLFTEA28,6487925B,CLFTEA28,6487925B                                     ,CLFTEA28,6487925B
CLFTEA29,6525585A,CLFTEA29,6525585A                                     ,CLFTEA29,6525585A
CLFTEA30,6524040A,CLFTEA30,6524040A                                     ,CLFTEA30,6524040A
CLFTEA31,6545253A,CLFTEA31,6545253A                                     ,CLFTEA31,6545253A
CLFTEA32,6542741A,CLFTEA32,6542741A                                     ,CLFTEA32,6542741A
CLFTEA33,6487839B,CLFTEA33,6487839B                                     ,CLFTEA33,6487839B
CLFTEA34,6498316A,CLFTEA34,6498316A                                     ,CLFTEA34,6498316A
CLFTEA35,6529571A,CLFTEA35,6543648B                                     ,CLFTEA35,6529571A
CLFTEA36,6479550B,CLFTEA36,6479550B                                     ,CLFTEA36,6479550B
CLFTEA37,6506370A,CLFTEA37,6506370A                                     ,CLFTEA37,6506371B
CLFTEA37,6506370A,CLFTEA37,6577359A                                     ,CLFTEA37,6506371B
CLFTEA38,6525585A,CLFTEA38,6525585A                                     ,CLFTEA38,6525585A
CLFTEA39,6528917B,CLFTEA39,6528917B                                     ,CLFTEA39,6528917B
CLFTEA40,6513992A,CLFTEA40,6513992A                                     ,CLFTEA40,6513992A
CLFTEA41,6547181A,CLFTEA41,6547181A                                     ,CLFTEA41,6547181A
CLFTEA42,6555639A,CLFTEA42,6555639A                                     ,CLFTEA42,6555639A
CLFTEA43,6568521A,CLFTEA43,6568521A                                     ,CLFTEA43,6568521A
CLFTEA44,6522503A,CLFTEA44,6522503A                                     ,CLFTEA44,6522503A
CLFTEA45,6529675B,CLFTEA45,6529675B                                     ,CLFTEA45,6529675B
CLFTEA46,6547137A,CLFTEA46,6546767B                                     ,CLFTEA46,6547137A
CLFTEA47,6571495A,CLFTEA47,6571495A                                     ,CLFTEA47,6571495A
CLFTEA48,6575258A,CLFTEA48,6575258A                                     ,CLFTEA48,6575258A
CLFTEA49,6487925B,CLFTEA49,6487925B                                     ,CLFTEA49,6487925B
CLFTEA50,6571495A,CLFTEA50,6571495A                                     ,CLFTEA50,6571495A
CLFTEA51,6525600B,CLFTEA51,6525600B                                     ,CLFTEA51,6525600B
CLFTEA52,6579768C,CLFTEA52,6579768C                                     ,CLFTEA52,6579768C
CLFTEA53,6579768C,CLFTEA53,6579768C                                     ,CLFTEA53,6579768C
CLFTEA54,6579768C,CLFTEA54,6579768C                                     ,CLFTEA54,6579768C
CLFTEA55,,CLFTEA55,6582042B                                     ,CLFTEA55,
CLFTEA56,6543758C,CLFTEA56,6543758C                                     ,CLFTEA56,6543758C
CLFTEA57,6547349B,CLFTEA57,6570774A                                     ,CLFTEA57,6547349B
CLFTEA58,6492420C,CLFTEA58,6522212C                                     ,CLFTEA58,6492420C
CLFTEA59,6579192B,CLFTEA59,6579192B                                     ,CLFTEA59,6579192B
CLFTEA60,6578688B,CLFTEA60,6578688B                                     ,CLFTEA60,6544140B
CLFTEA61,6512615D,CLFTEA61,6512615D                                     ,CLFTEA61,6512615D
CLFTEA62,6570729C,CLFTEA62,6570729C                                     ,CLFTEA62,6570729C
CLFTEA63,6555639A,NULL,NULL,CLFTEA63,6555639A
CLFTEA64,6479550B,CLFTEA64,6479550B                                     ,CLFTEA64,6479550B
CLFTEA65,6569306A,CLFTEA65,6569306A                                     ,CLFTEA65,6569306A
CLFTEA66,6544140B,CLFTEA66,6544140B                                     ,CLFTEA66,6544140B
CLFTEA67,6516394A,CLFTEA67,6516394A                                     ,CLFTEA67,6516394A
CLFTEA68,6525585A,CLFTEA68,6525585A                                     ,CLFTEA68,6525585A
CLFTEA69,6541533C,CLFTEA69,6541533C                                     ,CLFTEA69,6541533C
CLFTEA70,6547349B,CLFTEA70,6570774A                                     ,CLFTEA70,6570774A
CLFTEA71,6487925B,CLFTEA71,6487925B                                     ,CLFTEA71,6487925B
CLFTEA72,6547181A,CLFTEA72,6547181A                                     ,CLFTEA72,6547181A
CLFTEA73,6554905A,CLFTEA73,6554905A                                     ,CLFTEA73,6554905A
CLFTEA74,6520958B,CLFTEA74,6520958B                                     ,CLFTEA74,6520958B
CLFTEA75,6544140B,CLFTEA75,6544140B                                     ,CLFTEA75,6544140B
CLFTEA76,6525239A,CLFTEA76,6525239A                                     ,CLFTEA76,6525239A
CLFTEA77,6512615D,CLFTEA77,6512615D                                     ,CLFTEA77,6512615D
CLFTEA78,6560309A,CLFTEA78,6560309A                                     ,CLFTEA78,6560309A
CLFTEA79,6497193A,CLFTEA79,6497193A                                     ,CLFTEA79,6497194A
CLFTEA80,6513476C,CLFTEA80,6513476C                                     ,CLFTEA80,6513476C
CLFTEA81,6505771B,CLFTEA81,6505771B                                     ,CLFTEA81,6505771B
CLFTEA82,6487925B,CLFTEA82,6487925B                                     ,CLFTEA82,6487925B
CLFTEA83,6525585A,CLFTEA83,6525585A                                     ,CLFTEA83,6525585A
CLFTEA84,6525585A,CLFTEA84,6525585A                                     ,CLFTEA84,6525585A
CLFTEA85,6568858D,CLFTEA85,6568858D                                     ,CLFTEA85,6568858D
CLFTEA86,6518552B,CLFTEA86,6518552B                                     ,CLFTEA86,6518552B
CLFTEA87,6494476A,CLFTEA87,6494476A                                     ,CLFTEA87,6494476A
CLFTEA88,6518677A,CLFTEA88,6518677A                                     ,CLFTEA88,6518677A
CLFTEA89,6579768C,CLFTEA89,6579768C                                     ,CLFTEA89,6579768C
CLFTEA90,6552808A,CLFTEA90,6552808A                                     ,CLFTEA90,6552808A
CLFTEA92,,CLFTEA92,6579768C                                     ,CLFTEA92,6579768B
CLFTEA93,,CLFTEA93,6582044D                                     ,CLFTEA93,
CLFTEA94,,CLFTEA94,6582044D                                     ,CLFTEA94,
